iter	Passed	Remaining
0	116	116613
1	118	59193
2	119	39861
3	121	30183
4	122	24379
5	123	20500
6	126	17890
7	127	15781
8	128	14138
9	129	12816
10	130	11737
11	131	10839
12	132	10075
13	133	9423
14	152	10011
15	154	9486
16	156	9031
17	157	8593
18	158	8197
19	160	7855
20	161	7534
21	162	7234
22	163	6959
23	164	6706
24	166	6482
25	167	6291
26	169	6096
27	170	5917
28	171	5743
29	172	5581
30	173	5430
31	174	5287
32	175	5156
33	177	5031
34	178	4912
35	179	4802
36	181	4713
37	182	4619
38	184	4534
39	185	4453
40	186	4368
41	187	4285
42	188	4206
43	190	4129
44	191	4056
45	192	3988
46	194	3937
47	195	3882
48	196	3821
49	198	3764
50	199	3709
51	200	3654
52	201	3601
53	202	3550
54	203	3500
55	204	3453
56	206	3412
57	207	3377
58	209	3339
59	210	3299
60	212	3265
61	213	3225
62	214	3187
63	215	3150
64	216	3114
65	217	3078
66	219	3050
67	220	3025
68	221	2992
69	222	2961
70	223	2930
71	225	2900
72	226	2870
73	227	2842
74	228	2814
75	229	2787
76	230	2761
77	231	2735
78	234	2732
79	235	2709
80	236	2684
81	237	2661
82	238	2633
83	239	2610
84	240	2588
85	241	2567
86	242	2546
87	243	2525
88	244	2505
89	245	2485
90	248	2478
91	249	2462
92	250	2446
93	253	2443
94	255	2431
95	256	2418
96	258	2402
97	259	2388
98	261	2376
99	262	2360
100	263	2343
101	264	2327
102	266	2318
103	267	2308
104	269	2299
105	271	2286
106	272	2276
107	274	2265
108	275	2255
109	277	2248
110	279	2235
111	281	2228
112	282	2215
113	283	2201
114	284	2188
115	285	2176
116	286	2163
117	288	2153
118	289	2143
119	290	2130
120	291	2117
121	292	2104
122	293	2092
123	295	2085
124	296	2077
125	298	2069
126	299	2060
127	301	2054
128	303	2049
129	305	2041
130	309	2055
131	311	2048
132	313	2042
133	314	2035
134	316	2028
135	317	2018
136	319	2009
137	320	2002
138	322	1997
139	323	1988
140	325	1981
141	326	1971
142	327	1963
143	328	1954
144	330	1946
145	331	1938
146	332	1931
147	335	1933
148	337	1925
149	339	1923
150	340	1915
151	342	1908
152	343	1900
153	344	1893
154	345	1885
155	347	1878
156	348	1873
157	350	1865
158	351	1858
159	352	1850
160	353	1841
161	354	1833
162	355	1825
163	356	1817
164	357	1810
165	358	1802
166	359	1795
167	361	1789
168	362	1784
169	364	1778
170	365	1772
171	366	1765
172	367	1758
173	368	1751
174	370	1744
175	371	1737
176	372	1730
177	373	1723
178	374	1717
179	376	1713
180	377	1709
181	379	1705
182	380	1700
183	382	1697
184	384	1692
185	385	1686
186	386	1679
187	387	1673
188	391	1679
189	393	1676
190	394	1672
191	396	1666
192	397	1661
193	398	1655
194	399	1651
195	403	1654
196	405	1652
197	407	1650
198	409	1646
199	410	1642
200	412	1639
201	413	1633
202	415	1629
203	417	1627
204	418	1622
205	419	1617
206	420	1612
207	422	1606
208	423	1601
209	424	1595
210	425	1590
211	426	1584
212	427	1579
213	428	1574
214	430	1570
215	431	1565
216	432	1559
217	433	1554
218	434	1548
219	435	1543
220	436	1539
221	438	1535
222	439	1532
223	441	1528
224	442	1523
225	443	1519
226	445	1515
227	446	1510
228	447	1505
229	448	1500
230	449	1495
231	450	1491
232	451	1486
233	452	1481
234	453	1476
235	454	1471
236	455	1467
237	457	1464
238	458	1460
239	459	1456
240	460	1451
241	461	1447
242	463	1442
243	464	1438
244	465	1433
245	466	1429
246	467	1424
247	468	1420
248	469	1415
249	470	1411
250	471	1408
251	473	1405
252	474	1400
253	475	1396
254	476	1393
255	478	1389
256	479	1385
257	480	1381
258	481	1377
259	482	1373
260	483	1369
261	485	1366
262	486	1364
263	487	1360
264	488	1356
265	490	1352
266	491	1348
267	492	1344
268	493	1340
269	494	1336
270	495	1332
271	497	1330
272	498	1327
273	500	1325
274	501	1321
275	502	1317
276	503	1314
277	504	1310
278	505	1306
279	506	1303
280	507	1299
281	508	1295
282	510	1292
283	511	1289
284	512	1286
285	514	1284
286	515	1281
287	517	1278
288	518	1275
289	519	1272
290	520	1269
291	522	1266
292	523	1263
293	524	1260
294	526	1258
295	527	1255
296	528	1251
297	529	1248
298	530	1244
299	531	1241
300	533	1237
301	534	1234
302	535	1231
303	536	1227
304	537	1224
305	538	1221
306	539	1217
307	541	1216
308	542	1213
309	543	1209
310	544	1206
311	545	1203
312	546	1199
313	547	1196
314	548	1193
315	550	1190
316	551	1187
317	552	1184
318	553	1181
319	554	1178
320	556	1176
321	557	1174
322	559	1171
323	560	1169
324	561	1166
325	562	1163
326	563	1160
327	564	1157
328	565	1154
329	566	1150
330	568	1148
331	570	1148
332	572	1146
333	573	1143
334	574	1140
335	575	1137
336	576	1134
337	577	1131
338	578	1128
339	580	1125
340	581	1123
341	583	1122
342	584	1120
343	586	1118
344	587	1115
345	589	1113
346	590	1111
347	592	1109
348	593	1106
349	594	1103
350	596	1103
351	598	1100
352	599	1098
353	600	1095
354	601	1092
355	602	1089
356	603	1087
357	604	1084
358	605	1081
359	607	1079
360	608	1076
361	609	1074
362	611	1072
363	612	1069
364	613	1067
365	614	1064
366	615	1061
367	616	1058
368	617	1056
369	618	1053
370	619	1050
371	620	1048
372	621	1045
373	622	1042
374	624	1040
375	626	1038
376	627	1036
377	628	1033
378	629	1031
379	630	1028
380	631	1025
381	632	1023
382	633	1020
383	634	1018
384	635	1015
385	636	1012
386	638	1010
387	639	1009
388	641	1007
389	642	1004
390	643	1002
391	645	1000
392	646	998
393	647	995
394	648	993
395	649	990
396	650	988
397	653	988
398	654	986
399	656	984
400	657	982
401	658	979
402	659	977
403	660	974
404	661	972
405	662	969
406	664	967
407	665	965
408	667	964
409	668	962
410	669	959
411	670	957
412	671	954
413	672	952
414	673	949
415	674	947
416	675	944
417	677	943
418	693	961
419	694	959
420	695	957
421	697	955
422	699	953
423	700	950
424	701	948
425	702	946
426	703	943
427	704	941
428	705	938
429	706	936
430	707	934
431	708	931
432	709	929
433	711	927
434	712	925
435	713	923
436	714	921
437	715	918
438	717	916
439	718	913
440	719	912
441	720	910
442	721	907
443	723	905
444	724	903
445	726	901
446	727	900
447	728	897
448	730	895
449	731	893
450	732	892
451	733	889
452	735	887
453	736	885
454	737	883
455	738	880
456	740	879
457	741	877
458	742	874
459	743	872
460	744	870
461	745	868
462	746	865
463	747	863
464	748	861
465	749	859
466	751	857
467	753	856
468	755	855
469	757	854
470	758	852
471	760	850
